review_id,clause_id,clause_x,clause_y,pred_bert,pred_tfidf,pred_agg,pred_tfidf_agg,extra
1,0,они сразу не могли пакет документов проверить?,они сразу не могли пакет документов проверить?,—,,"{'Автокредит': 'нейтрально', 'Страхование': 'нейтрально', 'Обслуживание': 'отрицательно'}","['Автокредит', 'Ипотека', 'Обслуживание', 'Страхование']",['Ипотека']
1,1,"неделю общались по электронке три раза заставили переделать каско, ездила в страховую компанию, далее пригласили на сделку (сказали все документы все проверили, все готово приезжайте на подпись).","неделю общались по электронке три раза заставили переделать каско, ездила в страховую компанию, далее пригласили на сделку (сказали все документы все проверили, все готово приезжайте на подпись).",Автокредит: нейтрально | Страхование: нейтрально,"Ипотека, Обслуживание, Страхование","{'Автокредит': 'нейтрально', 'Страхование': 'нейтрально', 'Обслуживание': 'отрицательно'}","['Автокредит', 'Ипотека', 'Обслуживание', 'Страхование']",['Ипотека']
1,2,"Вместо обещанных 15 мин просидела 2, 5 ч, у меня была назначена встреча, все отложила, далее сказали скорее всего перечислят деньги завтра.","Вместо обещанных 15 мин просидела 2, 5 ч, у меня была назначена встреча, все отложила, далее сказали скорее всего перечислят деньги завтра.",—,Автокредит,"{'Автокредит': 'нейтрально', 'Страхование': 'нейтрально', 'Обслуживание': 'отрицательно'}","['Автокредит', 'Ипотека', 'Обслуживание', 'Страхование']",['Ипотека']
1,3,"Наступила завтра вечер– звонят, анкета не та, не там подпись стоит (Предварительно сказали распечатать с сайта их приедете, мы проверим) заполнила– проверили– заверили все ок, не понравилось черточка для подписи не так распечаталась","Наступила завтра вечер– звонят, анкета не та, не там подпись стоит (Предварительно сказали распечатать с сайта их приедете, мы проверим) заполнила– проверили– заверили все ок, не понравилось черточка для подписи не так распечаталась",—,,"{'Автокредит': 'нейтрально', 'Страхование': 'нейтрально', 'Обслуживание': 'отрицательно'}","['Автокредит', 'Ипотека', 'Обслуживание', 'Страхование']",['Ипотека']
1,4,уних она распечатывается с сайта таким же образом ни кого это не волнует. !,уних она распечатывается с сайта таким же образом ни кого это не волнует. !,—,,"{'Автокредит': 'нейтрально', 'Страхование': 'нейтрально', 'Обслуживание': 'отрицательно'}","['Автокредит', 'Ипотека', 'Обслуживание', 'Страхование']",['Ипотека']
1,5,Далее через день опять не так расписались мое начальство в справках– переделывайте.,Далее через день опять не так расписались мое начальство в справках– переделывайте.,—,,"{'Автокредит': 'нейтрально', 'Страхование': 'нейтрально', 'Обслуживание': 'отрицательно'}","['Автокредит', 'Ипотека', 'Обслуживание', 'Страхование']",['Ипотека']
1,6,"ПРи том что срок уже пошел от подписи до предоставления ПТС почти неделя, привезла, проходит еще два дня — звонят!","ПРи том что срок уже пошел от подписи до предоставления ПТС почти неделя, привезла, проходит еще два дня — звонят!",—,Автокредит,"{'Автокредит': 'нейтрально', 'Страхование': 'нейтрально', 'Обслуживание': 'отрицательно'}","['Автокредит', 'Ипотека', 'Обслуживание', 'Страхование']",['Ипотека']
1,7,"Приезжайте переподписывать заявление, мы там "" Нолик» не туда поставили и все","Приезжайте переподписывать заявление, мы там "" Нолик» не туда поставили и все",Обслуживание: отрицательно,Обслуживание,"{'Автокредит': 'нейтрально', 'Страхование': 'нейтрально', 'Обслуживание': 'отрицательно'}","['Автокредит', 'Ипотека', 'Обслуживание', 'Страхование']",['Ипотека']
1,8,то что я завтра уже уезжаю в командировку и там у меня останется два дня что бы поставить машину на учет,то что я завтра уже уезжаю в командировку и там у меня останется два дня что бы поставить машину на учет,—,,"{'Автокредит': 'нейтрально', 'Страхование': 'нейтрально', 'Обслуживание': 'отрицательно'}","['Автокредит', 'Ипотека', 'Обслуживание', 'Страхование']",['Ипотека']
1,9,"заверить у нотариуса заявление и привезти через всю Москву черти куда ни кого не волнует! Ужасное отношения, пофигизм!","заверить у нотариуса заявление и привезти через всю Москву черти куда ни кого не волнует! Ужасное отношения, пофигизм!",Обслуживание: отрицательно,Обслуживание,"{'Автокредит': 'нейтрально', 'Страхование': 'нейтрально', 'Обслуживание': 'отрицательно'}","['Автокредит', 'Ипотека', 'Обслуживание', 'Страхование']",['Ипотека']
2,0,"22 сентября под действием мошенников, я обратился в офис банка, находящийся в поселке Энергетик, Оренбургской области за оформлением кредита, который по словам мошенников (которые представились сотрудниками Банка России) мне срочно нужно получить.","22 сентября под действием мошенников, я обратился в офис банка, находящийся в поселке Энергетик, Оренбургской области за оформлением кредита, который по словам мошенников (которые представились сотрудниками Банка России) мне срочно нужно получить.",Потребительский кредит: нейтрально,Потребительский кредит,"{'Потребительский кредит': 'нейтрально', 'Автокредит': 'нейтрально', 'Страхование': 'отрицательно', 'Обслуживание': 'отрицательно', 'Другое': 'нейтрально'}","['Автокредит', 'Денежные переводы', 'Дистанционное обслуживание', 'Другое', 'Обслуживание', 'Потребительский кредит', 'Страхование']","['Денежные переводы', 'Дистанционное обслуживание']"
2,1,"я постоянно оставался на связи с мошенниками и действовал по их инструкции, что не смутило сотрудника банка","я постоянно оставался на связи с мошенниками и действовал по их инструкции, что не смутило сотрудника банка",—,Обслуживание,"{'Потребительский кредит': 'нейтрально', 'Автокредит': 'нейтрально', 'Страхование': 'отрицательно', 'Обслуживание': 'отрицательно', 'Другое': 'нейтрально'}","['Автокредит', 'Денежные переводы', 'Дистанционное обслуживание', 'Другое', 'Обслуживание', 'Потребительский кредит', 'Страхование']","['Денежные переводы', 'Дистанционное обслуживание']"
2,2,что наводит на мысли о преступном сговоре.,что наводит на мысли о преступном сговоре.,—,Дистанционное обслуживание,"{'Потребительский кредит': 'нейтрально', 'Автокредит': 'нейтрально', 'Страхование': 'отрицательно', 'Обслуживание': 'отрицательно', 'Другое': 'нейтрально'}","['Автокредит', 'Денежные переводы', 'Дистанционное обслуживание', 'Другое', 'Обслуживание', 'Потребительский кредит', 'Страхование']","['Денежные переводы', 'Дистанционное обслуживание']"
